budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_countries,release_date,revenue,runtime,status,tagline,title,vote_average,vote_count
80000000, Comedy,,11374, tvshow tvstation simulatedreality realitytv tvstar tvratings,en,Edtv,Video store clerk Ed agrees to have his life filmed by a camera crew for a tv network.,14.298297,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1999-03-26,0,122.0,Released,Fame. Be careful. It's out there.,Edtv,5.7,166
60000000, Adventure Family Fantasy,http://www.inkheartmovie.com/,2309, book fairytale eavesdropping adventure writersblock,en,Inkheart,"The adventures of a father and his young daughter, in their search for a long lost book that will help reunite a missing, close relative.",27.018886,"[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2008-12-11,57490374,106.0,Released,Every story ever written is just waiting to become real.,Inkheart,6.0,592
60000000, Action Comedy Thriller Crime ScienceFiction,http://www.mycityscreams.com/,8285, secretentity robber mask frog basedoncomicstrip backfromthedead,en,The Spirit,"Down these mean streets a man must come. A hero born, murdered, and born again. When a Rookie cop named Denny Colt returns from the beyond as The Spirit, a hero whose mission is to fight against the bad forces from the shadows of Central City, the Octopus who kills anyone unfortunate enough to see his face who has other plans. He's going to wipe out the entire city.",14.84856,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2008-12-25,39031337,103.0,Released,I'm gonna kill you all kinds of dead.,The Spirit,4.7,320
60000000, Comedy Adventure,http://mortdecaithemovie.com/,210860, basedonnovel painting debt artdealer stolenpainting,en,Mortdecai,"Art dealer, Charles Mortdecai, searches for a stolen painting rumored to contain a secret code that gains access to hidden Nazi gold.",52.417529,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2015-01-21,30418560,106.0,Released,Sophistication Has a Name.,Mortdecai,5.4,1055
60000000, Adventure Fantasy Action Drama,http://www.inthenameoftheking.com/,2312, fictionalplace monster lossoffamily newlove hero loveofoneslife magic fairytale villain kingdom enchantment badpower son heirtothethrone motherlylove wizardry revenge royalty family basedonveogame medieval,en,In the Name of the King: A Dungeon Siege Tale,"A man named Farmer sets out to rescue his kidnapped wife and avenge the death of his son -- two acts committed by the Krugs, a race of animal-warriors who are controlled by the evil Gallian.",15.406173,"[{""iso_3166_1"": ""CA"", ""name"": ""Canada""}, {""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2007-11-29,0,127.0,Released,Rise and fight,In the Name of the King: A Dungeon Siege Tale,4.1,224
35000000, Drama Romance Adventure War,,9839, londonengland cia landmine loveofoneslife cambodia ethiopia chechnya foreigna,en,Beyond Borders,"Beyond Borders is an epic tale of the turbulent romance between two star-crossed lovers set against the backdrop of the world's most dangerous hot spots. Academy Award winner Angelina Jolie stars as Sarah Jordan, an American living in London in 1984. She is married to Henry Bauford son of a wealthy British industrialist, when she encounters Nick Callahan a renegade doctor, whose impassioned plea for help to support his relief efforts in war-torn Africa moves her deeply. As a result, Sarah embarks upon a journey of discovery that leads to danger, heartbreak and romance in the far corners of the world.",6.523472,"[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2003-10-23,0,127.0,Released,Where hope survives.,Beyond Borders,6.7,110
80000000, Action History War,,13922, basedonnovel worldwarii prisonersofwar narration archivefootage rescuemission soldier s inspiredbytrueevents fictionalizedhistory,en,The Great Raid,"As World War II rages, the elite Sixth Ranger Battalion is given a mission of heroic proportions: push 30 miles behind enemy lines and liberate over 500 American prisoners of war.",8.923215,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2005-08-12,10166502,132.0,Released,The most daring rescue mission of our time is a story that has never been told,The Great Raid,6.8,91
58000000, Action Adventure Comedy,http://www.foxmovies.com/movies/deadpool,293660, antihero mercenary marvelcomic superhero basedoncomicbook breakingthefourthwall aftercreditsstinger duringcreditsstinger selfhealing,en,Deadpool,"Deadpool tells the origin story of former Special Forces operative turned mercenary Wade Wilson, who after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life.",514.569956,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2016-02-09,783112979,108.0,Released,Witness the beginning of a happy ending,Deadpool,7.4,10995
60000000, Drama Comedy,,9713, salesclerk television tvratings guru televisionproducer,en,Holy Man,"Eddie Murphy stars as an over-the-top television evangelist who finds a way to turn television home shopping into a religious experience, and takes America by storm.",9.265672,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1998-10-08,0,114.0,Released,The Comedy Where Nothing's Sacred!,Holy Man,4.9,111
58800000, War Action,http://www.americansnipermovie.com,190859, sniper biography iraq navyseal ussoldier,en,American Sniper,"U.S. Navy SEAL Chris Kyle takes his sole mission—protect his comrades—to heart and becomes one of the most lethal snipers in American history. His pinpoint accuracy not only saves countless lives but also makes him a prime target of insurgents. Despite grave danger and his struggle to be a good husband and father to his family back in the States, Kyle serves four tours of duty in Iraq. However, when he finally returns home, he finds that he cannot leave the war behind.",87.53437,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2014-12-11,542307423,133.0,Released,The most lethal sniper in U.S. history.,American Sniper,7.4,4469
58000000, Adventure Horror Comedy,http://www.goosebumps-movie.com/,257445, basedonnovel magic fantasy werewolf family ventriloquistdummy bookcomestolife d,en,Goosebumps,"A teenager teams up with the daughter of young adult horror author R.L. Stine after the writer's imaginary demons are set free on the town of Madison, Delaware.",45.351617,"[{""iso_3166_1"": ""AU"", ""name"": ""Australia""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2015-08-05,158162788,103.0,Released,The stories are alive.,Goosebumps,6.2,995
58000000, Comedy Fantasy Romance,,9007, coma basedonnovel workaholic flirt architect romanticcomedy ghost landscapearchitect,en,Just Like Heaven,"Shortly after David Abbott moves into his new San Francisco digs, he has an unwelcome visitor on his hands: winsome Elizabeth Martinson, who asserts that the apartment is hers -- and promptly vanishes. When she starts appearing and disappearing at will, David thinks she's a ghost, while Elizabeth is convinced she's alive.",13.43573,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2005-09-16,102854431,95.0,Released,It's a wonderful afterlife.,Just Like Heaven,6.5,579
83000000, ScienceFiction Comedy Family Romance,http://www.vivarockvegas.com/,889, waitress marriageproposal flirt stoneage bestfriend dinosaur,en,The Flintstones in Viva Rock Vegas,"The Flintstones are at it again. The Flintstones and the Rubbles head for Rock Vegas with Fred hoping to court the lovely Wilma. Nothing will stand in the way of love, except for the conniving Chip Rockefeller who is the playboy born in Baysville but who has made it in the cutthroat town of Rock Vegas. Will Fred win Wilma's love?",6.248309,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2000-04-28,59468275,90.0,Released,Get ready to rock!,The Flintstones in Viva Rock Vegas,4.4,134
63000000, Action Adventure Thriller War,,1370, competition submachinegun sovietunion liberation russian soviettroops thailand freedomfighter afghanistan waronfreedom machinegun mujah realityshow western japanesefood soapopera,en,Rambo III,"Combat has taken its toll on Rambo, but he's finally begun to find inner peace in a monastery. When Rambo's friend and mentor Col. Trautman asks for his help on a top secret mission to Afghanistan, Rambo declines but must reconsider when Trautman is captured.",31.294717,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1988-05-24,189015611,102.0,Released,The first was for himself. The second for his country. This time it's to save his friend.,Rambo III,5.7,690
58000000, Comedy Romance Drama,http://www.leatherheadsmovie.com/,4942, americanfootball sportsteam stadium hero success sponsorship police games coach womanreporter thebiggame,en,Leatherheads,"A light hearted comedy about the beginnings of Professional American Football. When a decorated war hero and college all star is tempted into playing professional football. Everyone see the chance to make some big money, but when a reporter digs up some dirt on the war hero... everyone could lose out.",7.739276,"[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2008-03-24,41299492,114.0,Released,"If Love Is a Game, Who'll Make the First Pass?",Leatherheads,5.7,130
58000000, Comedy,,24438, witnessprotection comedy duringcreditsstinger,en,Did You Hear About the Morgans?,"In New York City, an estranged couple who witness a murder are relocated to small-town Wyoming as part of a witness-protection program.",14.403696,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2009-12-17,85280250,103.0,Released,We're not in Manhattan anymore.,Did You Hear About the Morgans?,5.1,276
58000000, Comedy,http://www.theinternshipmovie.com/,116741, jobinterview lossofjob intern referencetogoogle newjob laoff transamericapyram,en,The Internship,Two recently laid-off men in their 40s try to make it as interns at a successful Internet company where their managers are in their 20s.,1.551497,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2013-06-07,44000000,119.0,Released,Hiring them was a brilliant mistake.,The Internship,6.1,1658
60000000, Action Adventure Horror ScienceFiction,http://www.sonypictures.com/movies/residentevilafterlife/site/,35791, postapocalyptic dystopia undead biohazard evilcorporation resentevil zombie basedonveogame duringcreditsstinger d,en,Resident Evil: Afterlife,"In a world ravaged by a virus infection, turning its victims into the Undead, Alice continues on her journey to find survivors and lead them to safety. Her deadly battle with the Umbrella Corporation reaches new heights, but Alice gets some unexpected help from an old friend. A new lead that promises a safe haven from the Undead takes them to Los Angeles, but when they arrive the city is overrun by thousands of Undead - and Alice and her comrades are about to step into a deadly trap.",2.143764,"[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""FR"", ""name"": ""France""}, {""iso_3166_1"": ""CA"", ""name"": ""Canada""}]",2010-09-09,300228084,97.0,Released,She's back...And she's bringing a few of her friends.,Resident Evil: Afterlife,5.8,1363
58000000, Drama Action Adventure History War,http://www.redtails2012.com/,72431, worldwarii fighterpilot fighterplane,en,Red Tails,"The story of the Tuskegee Airmen, the first African-American pilots to fly in a combat squadron during World War II.",12.29603,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2012-01-19,50365377,125.0,Released,High-Octane Action and Daring Dogfights!,Red Tails,5.9,178
57000000, Drama Horror Mystery Thriller,,1813, childabuse southernusa obsession subway nudity bible seduction hallucination ambition devilsson marriagecrisis pactwiththedevil crookedlawyer evilspirit satan religion lust courtroom temptation lawfirm manhattannewyorkcity sevendeadlysins ethics gainesvilleflora,en,The Devil's Advocate,A hotshot lawyer gets more than he bargained for when he learns his new boss is Lucifer himself.,33.8473,"[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1997-10-17,152944660,144.0,Released,Evil has its winning ways.,The Devil's Advocate,7.2,1374
70000000, Comedy,http://www.sonypictures.com/movies/thatsmyboy/,87428, deadbeatdad cheatingfiancuee teacherstudentsex brothersisterincest,en,That's My Boy,"While in his teens, Donny fathered a son, Todd, and raised him as a single parent up until Todd's 18th birthday. Now, after not seeing each other for years, Todd's world comes crashing down when Donny resurfaces just before Todd's wedding.",21.723897,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2012-06-14,58058367,116.0,Released,The story of a child… and his son.,That's My Boy,5.5,453
57000000, Fantasy,,8840, magic kingdom despot immortality village forest army horror partner revenge knight battle medieval dragonheart,en,DragonHeart,"In an ancient time when majestic fire-breathers soared through the skies, a knight named Bowen comes face to face and heart to heart with the last dragon on Earth, Draco. Taking up arms to suppress a tyrant king, Bowen soon realizes his task will be harder than he'd imagined: If he kills the king, Draco will die as well.",31.791979,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1996-05-31,115267375,103.0,Released,You will believe.,DragonHeart,6.4,535
60000000, Action Comedy Crime Drama,http://www.afterthesunset.com/,10589, bahamas masterthief crookcouple,en,After the Sunset,"Two master thieves (Brosnan and Hayek) are finally retiring after one last succesful mission. Residing in their own tropical paradise, their old nemesis, FBI Agent Stan P. Lloyd shows up to make sure they really are retired. Docked in the port is an ocean liner called the ""Diamond Cruise"" and Stan is convinced that they're not really retired at all, and that this is the next set up.",14.113066,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2004-11-12,61347797,97.0,Released,Who will walk away?,After the Sunset,6.0,226
57000000, Action Fantasy Thriller,http://www.thespiritofvengeance.com/,71676, monk easterneurope skeleton biker marvelcomic superhero motorcycle devil darkhero ghostrer,en,Ghost Rider: Spirit of Vengeance,"When the devil resurfaces with aims to take over the world in human form, Johnny Blaze reluctantly comes out of hiding to transform into the flame-spewing supernatural hero Ghost Rider -- and rescue a 10-year-old boy from an unsavory end.",48.622278,"[{""iso_3166_1"": ""AE"", ""name"": ""United Arab Emirates""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2011-12-10,149217355,95.0,Released,He Rides Again.,Ghost Rider: Spirit of Vengeance,4.7,1135
56000000, Action Comedy Drama Family Thriller,http://movies.disney.com/the-pacifier,10022, bodybuilder children bodyguard scientist family ussoldier deathofhusband malenanny,en,The Pacifier,Disgraced Navy SEAL Shane Wolfe is handed a new assignment: Protect the five Plummer kids from enemies of their recently deceased father -- a government scientist whose top-secret experiment remains hidden in the kids' house.,35.4763,"[{""iso_3166_1"": ""CA"", ""name"": ""Canada""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2005-03-04,113006880,95.0,Released,Welcome to the infantry.,The Pacifier,5.8,842
56000000, Adventure Drama Action Thriller,,11358, casino sheriff home violence specialforces exsoldier,en,Walking Tall,"A former U.S. soldier returns to his hometown to find it overrun by crime and corruption, which prompts him to clean house.",23.438398,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2004-04-02,57223890,86.0,Released,One man will stand up for what's right.,Walking Tall,6.0,381
55000000, Comedy Drama Romance,,13, vietnamveteran hippie mentallydisabled running basedonnovel vietnam vietnamwar friendship love familyrelationships bully mothersonrelationship military hugging shrimping woundedsoldier flashback parkbench amputee,en,Forrest Gump,"A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case, far exceeding what anyone imagined he could do. Yet, despite all the things he has attained, his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges, and who proved that determination, courage, and love are more important than ability.",138.133331,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1994-07-06,677945399,142.0,Released,"The world will never be the same, once you've seen it through the eyes of Forrest Gump.",Forrest Gump,8.2,7927
60000000, Comedy Music Family Fantasy Animation,http://www.chipmunks.com,6477, pop popstar recordproducer surprise approach forest music concert friendship performance chipmunk talkinganimal songwriter talkingtoanimals duringcreditsstinger,en,Alvin and the Chipmunks,"A struggling songwriter named Dave Seville finds success when he comes across a trio of singing chipmunks: mischievous leader Alvin, brainy Simon, and chubby, impressionable Theodore.",47.336034,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2007-12-13,361366633,92.0,Released,Get your squeak on!,Alvin and the Chipmunks,5.5,1177
55000000, Comedy Romance,,1597, cia airport cat jew orderly airplane fatherinlaw epistaxis daughter lostbaggage urn pavilion volleyball hospital wedding,en,Meet the Parents,"Greg Focker is ready to marry his girlfriend, Pam, but before he pops the question, he must win over her formidable father, humorless former CIA agent Jack Byrnes, at the wedding of Pam's sister. As Greg bends over backward to make a good impression, his visit to the Byrnes home turns into a hilarious series of disasters, and everything that can go wrong does, all under Jack's critical, hawklike gaze.",29.97224,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2000-10-06,330444045,108.0,Released,First comes love. Then comes the interrogation.,Meet the Parents,6.6,1698
55000000, Adventure Animation Drama Family,,10530, cultureclash settler forbdenlove colony musical goldrush princess romance nativeamerican animation virginia starcrossedlovers referencetopizarro jamestownvirginia pugdog crossculturalrelationship musket animatetree indianchief basedonfolktale thcentury shamanism songs indiansvssettlers animalsekick powhatan landclaim,en,Pocahontas,"History comes gloriously to life in Disney's epic animated tale about love and adventure in the New World. Pocahontas is a Native American woman whose father has arranged for her to marry her village's best warrior. But a vision tells her change is coming, and soon she comes face to face with it in the form of Capt. John Smith.",47.845589,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1995-06-14,346079773,81.0,Released,An American legend comes to life.,Pocahontas,6.7,1457
55000000, Action Adventure Fantasy ScienceFiction,,1924, savingtheworld journalist dccomics crimefighter nuclearmissile galaxy superhero basedoncomicbook criminal sabotage northpole mwest kryptonite superpowers superhumanstrength aftercreditsstinger savetheday,en,Superman,"Mild-mannered Clark Kent works as a reporter at the Daily Planet alongside his crush, Lois Lane − who's in love with Superman. Clark must summon his superhero alter ego when the nefarious Lex Luthor launches a plan to take over the world.",48.507081,"[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1978-12-13,300218018,143.0,Released,You'll Believe a Man Can Fly!,Superman,6.9,1022
54000000, Fantasy Comedy Romance ScienceFiction,,9327, overweight overweightman duringcreditsstinger,en,The Nutty Professor,"Eddie Murphy stars as shy Dr. Sherman Klump, a kind, brilliant, 'calorifically challenged' genetic professor. When beautiful Carla Purty joins the university faculty, Sherman grows desperate to whittle his 400-pound frame down to size and win her heart. So, with one swig of his experimental fat-reducing serum, Sherman becomes 'Buddy Love', a fast-talking, pumped-up , plumped down Don Juan.",20.28119,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1996-06-26,128769345,95.0,Released,"Inside Sherman Klump, a party animal is about to break out.",The Nutty Professor,5.4,702
70000000, Comedy Drama Romance,,8488, speeddate romanticcomedy dating,en,Hitch,"Dating coach Alex 'Hitch' Hitchens mentors a bumbling client, Albert, who hopes to win the heart of the glamorous Allegra Cole. While Albert makes progress, Hitch faces his own romantic setbacks when proven techniques fail to work on Sara Melas, a tabloid reporter digging for dirt on Allegra Cole's love life. When Sara discovers Hitch's connection to Albert – now Allegra's boyfriend – it threatens to destroy both relationships.",34.576913,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2005-02-10,368100420,118.0,Released,The cure for the common man.,Hitch,6.4,1665
55000000, Adventure Comedy Family Romance,,10603, africa sanfrancisco gorilla lion feralchild jungle,en,George of the Jungle,"Baby George got into a plane crash in a jungle, stayed alive and was adopted by a wise ape. Ursula Stanhope, US noble woman is saved from death on safari by grown-up George, and he takes her to jungle to live with him. He slowly learns a rules of human relationships, while Ursula's lover Lyle is looking for her and the one who took her. After they are found, Ursula takes George to the USA.",22.573237,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1997-07-15,0,92.0,Released,Watch out!,George of the Jungle,5.4,496
55000000, Comedy Romance,,8273, handcuffs sistersisterrelationship spanner blowjob stagnight wedding,en,American Wedding,"With high school a distant memory, Jim and Michelle are getting married -- and in a hurry, since Jim's grandmother is sick and wants to see him walk down the aisle -- prompting Stifler to throw the ultimate bachelor party. And Jim's dad is reliable as ever, doling out advice no one wants to hear.",36.194802,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2003-08-01,231449203,103.0,Released,Forever hold your piece.,American Wedding,6.0,1129
55000000, Action Drama Thriller,http://www.captainphillipsmovie.com,109424, ship hijacking somalia fisherman blood poverty pirate terrorism commando hijack cargoship shipcaptain shiphijacking somali commandounit,en,Captain Phillips,"The true story of Captain Richard Phillips and the 2009 hijacking by Somali pirates of the US-flagged MV Maersk Alabama, the first American cargo ship to be hijacked in two hundred years.",52.786917,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2013-10-10,95000000,134.0,Released,Out here survival is everything.,Captain Phillips,7.6,2454
55000000, Comedy,http://www.datenight-movie.com/,35056, date corruption taxi expensiverestaurant wifehusbandrelationship gun boat taxriver document restaurant roof marriedcouple politician stripper shooting thief carcrash stealing mistakenentity policecorruption aftercreditsstinger duringcreditsstinger,en,Date Night,"Phil and Claire Foster fear that their mild-mannered relationship may be falling into a stale rut. During their weekly date night, their dinner reservation leads to their being mistaken for a couple of thieves – and now a number of unsavoury characters want Phil and Claire killed.",38.06168,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2010-04-08,152263880,97.0,Released,One ordinary couple. One little white lie.,Date Night,5.9,1122
50000000, Fantasy Comedy Family,,8839, halloween friendship supernatural afterlife friends danger ghost disorder youngheroes imaginary supernaturalability mischievouschildren,en,Casper,"Furious that her late father only willed her his gloomy-looking mansion rather than his millions, Carrigan Crittenden is ready to burn the place to the ground when she discovers a map to a treasure hidden in the house. But when she enters the rickety mansion to seek her claim, she is frightened away by a wicked wave of ghosts. Determined to get her hands on this hidden fortune, she hires afterlife therapist Dr. James Harvey to exorcise the ghosts from the mansion. Harvey and his daughter Kat move in, and soon Kat meets Casper, the ghost of a young boy who's ""the friendliest ghost you know."" But not so friendly are Casper's uncles--Stretch, Fatso and Stinkie--who are determined to drive all ""fleshies"" away.",19.830132,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1995-05-26,287928194,100.0,Released,Get an afterlife,Casper,6.0,1019
55000000, Thriller Action Crime,,156022, corruption assassin hostage fbi hitman russian securitycamera sadism vigilante sociopath revenge suspense organizedcrime gore gangster violence teenageprostitute commando interrogation surveillance exsoldier fakeddeath loner callgirl blackops handtohandcombat mysteriouspast,en,The Equalizer,"In The Equalizer, Denzel Washington plays McCall, a man who believes he has put his mysterious past behind him and dedicated himself to beginning a new, quiet life. But when McCall meets Teri (Chloë Grace Moretz), a young girl under the control of ultra-violent Russian gangsters, he can’t stand idly by – he has to help her. Armed with hidden skills that allow him to serve vengeance against anyone who would brutalize the helpless, McCall comes out of his self-imposed retirement and finds his desire for justice reawakened. If someone has a problem, if the odds are stacked against them, if they have nowhere else to turn, McCall will help. He is The Equalizer.",79.922059,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2014-09-24,192330738,132.0,Released,What do you see when you look at me?,The Equalizer,7.1,2954
53000000, Action Thriller Drama,,8963, submarine mutiny russia missile nuclearmissile embassy usnavy battleforpower torpedo military moraldilemma postcoldwar aircraftcarrier chainofcommand launchcode sonar,en,Crimson Tide,"On a US nuclear missile sub, a young first officer stages a mutiny to prevent his trigger happy captain from launching his missiles before confirming his orders to do so.",20.334629,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1995-05-12,157387195,116.0,Released,Danger runs deep.,Crimson Tide,7.0,498
55000000, Thriller Drama Mystery,,9315, berlin lossoffather airplane babysnatching,en,Flightplan,"A claustrophobic, Hitchcockian thriller. A bereaved woman and her daughter are flying home from Berlin to America. At 30,000 feet the child vanishes and nobody admits she was ever on that plane.",32.05145,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2005-09-22,223387299,98.0,Released,If Someone Took Everything You Live For... How Far Would You Go To Get It Back?,Flightplan,6.1,772
55000000, Drama Thriller Crime Mystery Romance,,8984, employee workplace sexualharassment intrigue,en,Disclosure,"A computer specialist is sued for sexual harassment by a former lover turned boss who initiated the act forcefully, which threatens both his career and his personal life.",15.064058,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1994-12-09,214015089,123.0,Released,Sex Is Power.,Disclosure,5.9,210
55000000, Drama Fantasy Romance,,795, suice angel lifeanddeath desperation operation heaven faith afterlife losangeles interspeciesromance,en,City of Angels,"When guardian angel Seth -- who invisibly watches over the citizens of Los Angeles -- becomes captivated by Maggie, a strong-willed heart surgeon, he ponders trading in his pure, otherworldly existence for a mortal life with his beloved. The couple embarks on a tender but forbidden romance spanning heaven and Earth.",21.272734,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""DE"", ""name"": ""Germany""}]",1998-04-10,198685114,114.0,Released,She didn't believe in angels until she fell in love with one.,City of Angels,6.4,529
30000000, Action Crime,http://www.miramax.com/movie/kill-bill-volume-1/,24, japan coma martialarts kungfu underworld yakuza sword bre revenge gore femaleyakuza blood wedding samuraisword partanimation,en,Kill Bill: Vol. 1,"An assassin is shot at the altar by her ruthless employer, Bill and other members of their assassination circle – but 'The Bride' lives to plot her vengeance. Setting out for some payback, she makes a death list and hunts down those who wronged her, saving Bill for last.",79.754966,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2003-10-10,180949000,111.0,Released,Go for the kill.,Kill Bill: Vol. 1,7.7,4949
55000000, Comedy,,11353, filmproducer filmdirector moviestudio hollywood filmmaking movieactress,en,Bowfinger,"On the verge of bankruptcy and desperate for his big break, aspiring filmmaker Bobby Bowfinger concocts a crazy plan to make his ultimate dream movie. Rallying a ragtag team that includes a starry-eyed ingenue, a has-been diva and a film studio gofer, he sets out to shoot a blockbuster featuring the biggest star in Hollywood, Kit Ramsey -- only without letting Ramsey know he's in the picture.",13.191829,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1999-08-12,0,97.0,Released,The con is on.,Bowfinger,6.0,254
30000000, Action Crime Thriller,,393, brotherbrotherrelationship swordplay katana motherrole rageandhate daughter rightandjustice single aftercreditsstinger duringcreditsstinger,en,Kill Bill: Vol. 2,"The Bride unwaveringly continues on her roaring rampage of revenge against the band of assassins who had tried to kill her and her unborn child. She visits each of her former associates one-by-one, checking off the victims on her Death List Five until there's nothing left to do … but kill Bill.",50.622607,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2004-04-16,152159461,136.0,Released,The bride is back for the final cut.,Kill Bill: Vol. 2,7.6,3948
55000000, Action Adventure Comedy,,9618, prisoner warondrugs losangeles,en,Tango & Cash,"Ray Tango and Gabriel Cash are narcotics detectives who, while both being extremely successful, can't stand each other. Crime Lord Yves Perret, furious at the loss of income that Tango and Cash have caused him, frames the two for murder. Caught with the murder weapon on the scene of the crime, the two have no alibi. Thrown into prison with most of the criminals they helped convict, it appears that they are going to have to trust each other if they are to clear their names and catch the evil Perret.",22.787667,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1989-12-22,63408614,104.0,Released,Two of L.A.'s top rival cops are going to have to work together... Even if it kills them.,Tango & Cash,6.1,458
55000000, Fantasy Comedy,,9374, jealousy beauty immortality rivalry potion drinking,en,Death Becomes Her,"Madeline is married to Ernest, who was once arch-rival Helen's fiance. After recovering from a mental breakdown, Helen vows to kill Madeline and steal back Ernest. Unfortunately for everyone, the introduction of a magic potion causes things to be a great deal more complicated than a mere murder plot.",29.498304,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1992-07-30,149022650,104.0,Released,In one small bottle... The fountain of youth. The secret of eternal life. The power of an ancient potion. Sometimes it works... sometimes it doesn't.,Death Becomes Her,6.3,636
55000000, Adventure Action Comedy Western,,8584, princess sioux travel rescue nativeamerican chinese cowboy duringcreditsstinger thcentury,en,Shanghai Noon,"Chon Wang, a clumsy imperial guard trails Princess Pei Pei when she is kidnapped from the Forbidden City and transported to America. Wang follows her captors to Nevada, where he teams up with an unlikely partner, outcast outlaw Roy O'Bannon, and tries to spring the princess from her imprisonment.",25.400935,"[{""iso_3166_1"": ""HK"", ""name"": ""Hong Kong""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2000-05-26,56932305,110.0,Released,The old west meets the far east.,Shanghai Noon,6.2,735
55000000, Action Adventure Drama Thriller,,2320, bomb ransom hostage airplane hijacking terrorcell specialunit deception rescue covertoperation disaster shootout terrorism explosion violence surveillance nightvisiongoggles flightattendant intelligenceagent flashback handtohandcombat nervegas,en,Executive Decision,"Terrorists hijack a 747 inbound to Washington D.C., demanding the the release of their imprisoned leader. Intelligence expert David Grant (Kurt Russell) suspects another reason and he is soon the reluctant member of a special assault team that is assigned to intercept the plane and hijackers.",17.231675,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1996-03-15,121969216,133.0,Released,Fasten your seat belts,Executive Decision,5.8,256
